path, orbit, block, line, sample, lat, lon, an, ca, cf, rms, weight, npts, cloud, var
93, 88127, 29, 52, 1922, 74.115110, 199.470208, 0.000000, 0.000000, 0.000000, 5.415000, 0.500000, 1.000000, 0, 1.315000
93, 88127, 29, 52, 1921, 74.115494, 199.468523, 0.000000, 0.000000, 0.000000, 8.752500, 0.500000, 4.000000, 0, 6.227910
93, 88127, 29, 52, 1920, 74.117029, 199.461776, 0.000000, 0.000000, 0.000000, 4.938889, 0.500000, 4.500000, 0, 0.885632
93, 88127, 29, 52, 1919, 74.118757, 199.454178, 0.000000, 0.000000, 0.000000, 6.886250, 0.500000, 4.000000, 0, 1.761427
93, 88127, 29, 52, 1918, 74.120292, 199.447416, 0.000000, 0.000000, 0.000000, 5.521250, 0.500000, 4.000000, 0, 0.872975
93, 88127, 29, 52, 1917, 74.121826, 199.440645, 0.000000, 0.000000, 0.000000, 7.536250, 0.500000, 4.000000, 0, 3.878627
93, 88127, 29, 52, 1916, 74.123363, 199.433875, 0.000000, 0.000000, 0.000000, 6.267500, 0.500000, 4.000000, 0, 2.817382
93, 88127, 29, 52, 1915, 74.124898, 199.427100, 0.000000, 0.000000, 0.000000, 13.100000, 0.500000, 2.500000, 0, 6.125736
164, 88146, 8, 342, 1110, 74.125473, 199.424556, 14.851653, 16.286680, 17.074827, 17.666667, 1.000000, 3.000000, -1, 2.875568
164, 88146, 8, 336, 1107, 74.115110, 199.470208, 14.533496, 16.344475, 17.399241, 10.186667, 1.000000, 3.000000, -1, 6.833039
164, 88146, 8, 337, 1108, 74.115686, 199.467680, 14.355404, 16.093010, 17.417207, 6.765000, 1.000000, 8.000000, -1, 4.775186
164, 88146, 8, 338, 1108, 74.117221, 199.460933, 14.275991, 16.065879, 17.240712, 5.037778, 1.000000, 9.000000, -1, 0.802036
164, 88146, 8, 339, 1108, 74.118948, 199.453332, 14.346578, 16.163197, 17.154805, 7.213750, 1.000000, 8.000000, -1, 1.560296
164, 88146, 8, 339, 1109, 74.120483, 199.446569, 14.287821, 16.174766, 17.222884, 6.040000, 1.000000, 1.000000, -1, 0.000000
164, 88146, 8, 340, 1109, 74.120675, 199.445723, 14.635230, 16.266371, 17.217639, 5.551250, 1.000000, 8.000000, -1, 0.856847
164, 88146, 8, 341, 1109, 74.122210, 199.438953, 14.904318, 16.270648, 17.053725, 8.030000, 1.000000, 9.000000, -1, 4.189341
164, 88146, 8, 342, 1109, 74.123938, 199.431334, 14.931174, 16.280281, 16.907805, 5.291429, 1.000000, 7.000000, -1, 1.190923
